Report Name,Report Type,Report Data Source Name,Execution Mode,Execution Type,Start Date and Time,Requested By,CF_#_of_Direct_Reports_TF,Direct Reports (Employees),Available Usage,Area Where Used,Brief Description,Last Run By,Last Run Date
Active Employee Report,All Workers,All Workers,Scheduled,Background,2026-05-26 09:00:00,Bob Lee,,,All,HR,,Bob Lee,
Active Employee Report,All Workers,All Workers,Scheduled,Background,2026-04-26 09:00:00,Jane Doe,,,All,HR,,Jane Doe,
Active Employee Report,All Workers,All Workers,Scheduled,Background,2026-03-27 09:00:00,Sam Roe,,,All,HR,,Sam Roe,
Active Employee Report,All Workers,All Workers,Scheduled,Background,2026-02-25 09:00:00,Bob Lee,,,All,HR,,Bob Lee,
Active Employee Report,All Workers,All Workers,Scheduled,Background,2026-01-26 09:00:00,Mia Fox,,,All,HR,,Mia Fox,
Active Employee Report,All Workers,All Workers,Scheduled,Background,2025-12-27 09:00:00,Lee Kim,,,All,HR,,Lee Kim,
Active Employee Report,All Workers,All Workers,Manual,Foreground,2026-05-26 09:10:00,Bob Lee,,,All,HR,,Bob Lee,
Quarterly Finance Report,Financials,Financials,Manual,Foreground,2026-03-12 09:00:00,Grace Hall,,,All,Finance,,Grace Hall,
Quarterly Finance Report,Financials,Financials,Manual,Foreground,2026-06-05 09:00:00,Tom Ray,,,All,Finance,,Tom Ray,
Quarterly Finance Report,Financials,Financials,Manual,Foreground,not-a-date,Tom Ray,,,All,Finance,,Tom Ray,
